====================================================
STARTING PROCESS Access Point
    Start time: 2025-10-01 12:30:00.022996+00:00
    Version: 2808
    Command line: ['.venv/bin/python3', '-m', 'process.access_point', '--market', 'US', '--ap', 'ARC']
====================================================
2025-10-01 12:30:17,820 - root - INFO - prometheus client http server running on http://prometheus.co
2025-10-01 12:30:17,957 - root - INFO - Initialized prometheus server.
2025-10-01 12:30:17,958 - root - INFO - Kafka publishing on topic internal_topic at brokers:9092
2025-10-01 12:30:17,971 - root - INFO - reading messages from 2025-10-01
2025-10-01 12:30:17,971 - subscription_state - INFO - Updating subscribed topics to: frozenset({'internal_topic'})
2025-10-01 12:30:17,983 - root - INFO - Kafka reading from start of day 2025-10-01 05:00:00+00:00 on topic internal_topic from brokers:9092
2025-10-01 12:30:18,527 - root - INFO - Kafka source starting for topic internal_topic at current offset 108569235534 end offset 133085825970 on servers brokers:9092
2025-10-01 12:30:25,589 - root - INFO - Kafka topic internal_topic is caught up at offset 10858223235969
2025-10-01 12:30:25,589 - root - INFO - Connecting to ARC at 124.4.4.4.4:12345
2025-10-01 12:30:25,589 - root - INFO - ARC attempting to connect to 124.4.4.4.4:12345
2025-10-01 12:30:25,590 - root - INFO - ARC connected to 124.4.4.4.4:12345
2025-10-01 12:30:25,590 - root - INFO - client connected ARC from ('127.0.0.1', 1377)
2025-10-01 14:00:45,900 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 21}
2025-10-01 14:01:36,690 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 221}
2025-10-01 14:02:25,902 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 421}
2025-10-01 14:03:17,173 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 621}
2025-10-01 14:04:03,458 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 821}
2025-10-01 14:04:54,100 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 1021}
2025-10-01 14:05:28,903 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 1221}
2025-10-01 14:05:59,792 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 1421}
2025-10-01 14:06:44,968 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 1621}
2025-10-01 14:07:29,083 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 1821}
2025-10-01 14:08:15,114 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 2021}
2025-10-01 14:09:00,906 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 2221}
2025-10-01 14:09:49,460 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 2421}
2025-10-01 14:10:30,837 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 2621}
2025-10-01 14:11:22,036 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 2821}
2025-10-01 14:12:17,270 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 3021}
2025-10-01 14:13:06,229 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 3221}
2025-10-01 14:14:00,144 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 3421}
2025-10-01 14:14:46,840 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 3621}
2025-10-01 14:15:37,118 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 3821}
2025-10-01 14:16:29,243 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 4021}
